                   ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
const              , 2809.4754, 1146.572,    2.450, 0.015,  547.193, 5071.758
Price_volatility.L1,    1.2512,    0.076,   16.455, 0.000,    1.101,    1.401
Price_volatility.L2,   -0.6646,    0.121,   -5.497, 0.000,   -0.903,   -0.426
Price_volatility.L3,    0.0210,    0.118,    0.178, 0.859,   -0.212,    0.254
Price_volatility.L4,    0.1047,    0.069,    1.511, 0.132,   -0.032,    0.241
QBOG_balance.L0    ,   -0.0241,    0.021,   -1.162, 0.247,   -0.065,    0.017
QBOG_balance.L1    ,    0.0618,    0.028,    2.176, 0.031,    0.006,    0.118
QBOG_balance.L2    ,   -0.0602,    0.029,   -2.099, 0.037,   -0.117,   -0.004
QBOG_balance.L3    ,   -0.0094,    0.028,   -0.333, 0.739,   -0.065,    0.047
QBOG_balance.L4    ,    0.0171,    0.021,    0.833, 0.406,   -0.023,    0.058
POILBREUSDM.L0     ,   -4.3460,    4.166,   -1.043, 0.298,  -12.566,    3.874
POILBREUSDM.L1     ,    4.0897,    5.769,    0.709, 0.479,   -7.293,   15.472
POILBREUSDM.L2     ,   -1.5981,    5.945,   -0.269, 0.788,  -13.329,   10.133
POILBREUSDM.L3     ,    3.2274,    5.992,    0.539, 0.591,   -8.596,   15.051
POILBREUSDM.L4     ,    4.3729,    4.280,    1.022, 0.308,   -4.072,   12.818
Inflation_rate.L0  ,  -86.8519,  106.297,   -0.817, 0.415, -296.585,  122.881
Inflation_rate.L1  ,   -2.4510,  150.109,   -0.016, 0.987, -298.629,  293.727
Inflation_rate.L2  ,   35.9753,  150.725,    0.239, 0.812, -261.417,  333.367
Inflation_rate.L3  ,   12.7548,  146.845,    0.087, 0.931, -276.982,  302.492
Inflation_rate.L4  ,   69.3130,  107.053,    0.647, 0.518, -141.911,  280.537
CPI_chung.L0       ,  -67.8717,  307.021,   -0.221, 0.825, -673.649,  537.906
CPI_chung.L1       ,  227.1785,  313.724,    0.724, 0.470, -391.825,  846.182
CPI_chung.L2       , -323.3672,  356.123,   -0.908, 0.365,-1026.027,  379.293
CPI_chung.L3       ,   68.2771,  311.480,    0.219, 0.827, -546.300,  682.854
CPI_chung.L4       ,  102.5741,  304.280,    0.337, 0.736, -497.797,  702.945
CPI_giao_thong.L0  , -473.6092,  312.631,   -1.515, 0.132,-1090.456,  143.237
CPI_giao_thong.L1  , -301.2335,  379.667,   -0.793, 0.429,-1050.348,  447.881
CPI_giao_thong.L2  ,  588.5298,  442.246,    1.331, 0.185, -284.060, 1461.119
CPI_giao_thong.L3  ,   92.1401,  370.490,    0.249, 0.804, -638.869,  823.149
CPI_giao_thong.L4  ,   56.3132,  317.237,    0.178, 0.859, -569.621,  682.248
Income.L0          ,  3.09e-05, 9.94e-05,    0.311, 0.756,   -0.000,    0.000
Income.L1          ,   -0.0001,    0.000,   -0.922, 0.358,   -0.000,    0.000
Income.L2          ,    0.0002,    0.000,    1.371, 0.172,-8.23e-05,    0.000
Income.L3          , 2.787e-05,    0.000,    0.204, 0.838,   -0.000,    0.000
Income.L4          ,-6.801e-05, 9.95e-05,   -0.683, 0.495,   -0.000,    0.000
Holiday_dummy.L0   ,   40.7594,  107.664,    0.379, 0.705, -171.671,  253.190
Holiday_dummy.L1   ,  -29.2467,  106.168,   -0.275, 0.783, -238.725,  180.231
Holiday_dummy.L2   ,  -20.2247,  103.700,   -0.195, 0.846, -224.833,  184.383
Holiday_dummy.L3   ,  210.8876,  102.535,    2.057, 0.041,    8.577,  413.198
Holiday_dummy.L4   ,   55.2884,   99.178,    0.557, 0.578, -140.397,  250.974
